identity_key,reading_type,reading_name,source_label,display_ref,canonical_mt_ref,canonical_lxx_ref,source_convention,canonicalization_confidence,canonicalization_note,spans_json
rid_ffafdc885e429a98bc07,scripture,,"Ps 132:9-10,132:17-18","Ps 132:9-10,132:17-18 (LXX Ps 131:9-10; Ps 131:17-18)","Ps 132:9-10,132:17-18",Ps 131:9-10; Ps 131:17-18,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:9-10; Ps 131:17-18"", ""canonical_mt_ref"": ""Ps 132:9-10,132:17-18"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:9-10,132:17-18"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 10, ""verse_start"": 9}, {""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 131:9-10; Ps 131:17-18"", ""canonical_mt_ref"": ""Ps 132:9-10,132:17-18"", ""chapter_end"": 132, ""chapter_start"": 132, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 132:9-10,132:17-18"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 18, ""verse_start"": 17}]"
rid_c3caa32d946eafd71e43,scripture,,Ps 133,Ps 133 (LXX Ps 132),Ps 133,Ps 132,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 132"", ""canonical_mt_ref"": ""Ps 133"", ""chapter_end"": 133, ""chapter_start"": 133, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 133"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": null, ""verse_start"": null}]"
rid_8c0ac5d1536f46f7ea57,scripture,,Ps 134,Ps 134 (LXX Ps 133),Ps 134,Ps 133,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 133"", ""canonical_mt_ref"": ""Ps 134"", ""chapter_end"": 134, ""chapter_start"": 134, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 134"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": null, ""verse_start"": null}]"
rid_defca81f7f8199c8e586,scripture,,Ps 134:1,Ps 134:1 (LXX Ps 133:1),Ps 134:1,Ps 133:1,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 133:1"", ""canonical_mt_ref"": ""Ps 134:1"", ""chapter_end"": 134, ""chapter_start"": 134, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 134:1"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 1, ""verse_start"": 1}]"
rid_df79e6361c42c4bccc01,scripture,,Ps 134:1-2,Ps 134:1-2 (LXX Ps 133:1-2),Ps 134:1-2,Ps 133:1-2,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 133:1-2"", ""canonical_mt_ref"": ""Ps 134:1-2"", ""chapter_end"": 134, ""chapter_start"": 134, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 134:1-2"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 2, ""verse_start"": 1}]"
rid_62d025ee2079f327a969,scripture,,Ps 135:19-20,Ps 135:19-20 (LXX Ps 134:19-20),Ps 135:19-20,Ps 134:19-20,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 134:19-20"", ""canonical_mt_ref"": ""Ps 135:19-20"", ""chapter_end"": 135, ""chapter_start"": 135, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 135:19-20"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 20, ""verse_start"": 19}]"
rid_0d5c2fa1e31c0d2ea133,scripture,,Ps 135:21,Ps 135:21 (LXX Ps 134:21),Ps 135:21,Ps 134:21,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 134:21"", ""canonical_mt_ref"": ""Ps 135:21"", ""chapter_end"": 135, ""chapter_start"": 135, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 135:21"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 21, ""verse_start"": 21}]"
rid_22b2e784c0c08bec623b,scripture,,Ps 135:3,Ps 135:3 (LXX Ps 134:3),Ps 135:3,Ps 134:3,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 134:3"", ""canonical_mt_ref"": ""Ps 135:3"", ""chapter_end"": 135, ""chapter_start"": 135, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 135:3"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 3, ""verse_start"": 3}]"
rid_9249f89008b0d812d2a9,scripture,,Ps 135:5,Ps 135:5 (LXX Ps 134:5),Ps 135:5,Ps 134:5,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 134:5"", ""canonical_mt_ref"": ""Ps 135:5"", ""chapter_end"": 135, ""chapter_start"": 135, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 135:5"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 5, ""verse_start"": 5}]"
rid_c48302b931536bc3245a,scripture,,Ps 135:6,Ps 135:6 (LXX Ps 134:6),Ps 135:6,Ps 134:6,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 134:6"", ""canonical_mt_ref"": ""Ps 135:6"", ""chapter_end"": 135, ""chapter_start"": 135, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 135:6"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 6, ""verse_start"": 6}]"
rid_aa7e9c77ab43e4a91e38,scripture,,Ps 136:1,Ps 136:1 (LXX Ps 135:1),Ps 136:1,Ps 135:1,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 135:1"", ""canonical_mt_ref"": ""Ps 136:1"", ""chapter_end"": 136, ""chapter_start"": 136, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 136:1"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 1, ""verse_start"": 1}]"
rid_8e5ed2d7fe4d61f8aac5,scripture,,Ps 136:1-2,Ps 136:1-2 (LXX Ps 135:1-2),Ps 136:1-2,Ps 135:1-2,mt_nkjv,medium,chapter_mapped_verse_offset_not_guessed,"[{""book"": ""Ps"", ""canonical_lxx_ref"": ""Ps 135:1-2"", ""canonical_mt_ref"": ""Ps 136:1-2"", ""chapter_end"": 136, ""chapter_start"": 136, ""confidence"": ""medium"", ""source_convention"": ""mt_nkjv"", ""source_ref"": ""Ps 136:1-2"", ""validation_basis"": ""chapter_mapped_verse_offset_not_guessed"", ""verse_end"": 2, ""verse_start"": 1}]"
