day_title,service_hour,identity_key,display_ref,source_count,sources,source_titles,source_editions,source_locators,bucket,statuses,removed_marker,citation,attestation_note
Monday Eve,Third Hour,rid_f5ce91b8996a871b27ba,Mal 1:1-9,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 20; source_ref=Mal 1:1-9,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 20; source_ref=Mal 1:1-9 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=20 | source_ref=Mal 1:1-9 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Monday Eve,Third Hour,rid_fefd589b78ce4cbbfed0,Zeph 1:14-2:2,1,st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 1967; source_ref=Zeph 1:14-2:2,old_edition_only,historical_witness,,"source_key=st_mary_ottawa_pascha | source_title=St. Mary Ottawa Holy Pascha extracted text | source_edition=Lent 1734 A.M., 2018 A.D. eBook extracted text | source_locator=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 1967; source_ref=Zeph 1:14-2:2 | source_file=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt | source_row_id=1967 | source_ref=Zeph 1:14-2:2 | provenance=out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:1967",Historical printed witness retained for comparison. Not current authority where Coptic Reader fixture applies.
Palm Sunday,Liturgy,rid_086294f1b3af0bf3e9ff,Mark 11:1-11,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=172 | source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_56258ae52dbbe285370a,Jn 12:12-19,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=172 | source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_961bac1556ad1d6c41f0,Lk 19:29-48,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=172 | source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_c41957d659db423dcab9,Matt 21:1-17,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=172 | source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_c8301ac6e0b3cf7e0fdb,1Pet 4:1-11,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 170; source_ref=1Pet 4:1-11,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 170; source_ref=1Pet 4:1-11 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=170 | source_ref=1Pet 4:1-11 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_d2fb2817f1ecd6226ae1,"Ps 64:1,64:2 (LXX Ps 63:1; Ps 63:2)",1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,"out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19",single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 172; source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=172 | source_ref=Ps 80:3,1,2; Matt 21:1-17; Mark 11:1-11; Luke 19:29-48; Ps 64:1,2; John 12:12-19 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_d7b3f65948587b407146,Acts 28:11-31,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 171; source_ref=Acts 28:11-31,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 171; source_ref=Acts 28:11-31 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=171 | source_ref=Acts 28:11-31 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
Palm Sunday,Liturgy,rid_f35aa8dad0b5d7ca3707,Heb 9:11-28,1,katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,out/data/pascha_day_hour_index.csv:row 169; source_ref=Heb 9:11-28,single_source_candidate,current_working_source_not_coptic_reader_checked,,"source_key=katameros_api_sqlite | source_title=pierresaid Katameros API SQLite source bundled in repo | source_edition=local repo snapshot of pierresaid Katameros API SQLite database | source_locator=out/data/pascha_day_hour_index.csv:row 169; source_ref=Heb 9:11-28 | source_file=out/data/pascha_day_hour_index.csv | source_row_id=169 | source_ref=Heb 9:11-28 | provenance=api extraction, replay using source_file and source_row_id",Single-source candidate retained with source citation. Not promoted to current Coptic Reader authority.
