testament,book,chapter,matched_reading_ref,identity_key,occasion_id,occasion_short_label,season,service,hour,slot,status,attesting_edition
New Testament,Acts,26,Acts 26:1-8,rid_3e3dbb32d67d7bd52f21,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,26,Acts 26:1-8,rid_3e3dbb32d67d7bd52f21,wednesday-of-the-sixth-week-of-great-lent,Wednesday of the sixth week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,26,Acts 26:19-27:8,rid_8a64e23f896c9f653032,sunday-of-the-fifth-week-of-great-lent,Sunday of the fifth week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,26,Acts 26:19-32,rid_c4f0dfbb907beb3b04bb,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,27,Acts 27:1-3,rid_f02ec4c1987e83151a62,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,27,Acts 27:1-3,rid_f02ec4c1987e83151a62,tuesday-of-the-fourth-week-of-great-lent,Tuesday of the fourth week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:1-8,rid_a6e2e4ec1bd040fc86cc,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,27,Acts 27:16-20,rid_185159d5af72f398f1ab,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
New Testament,Acts,27,Acts 27:16-20,rid_185159d5af72f398f1ab,thursday-of-the-sixth-week-of-great-lent,Thursday of the sixth week of Great Lent,Great Lent,Liturgy,,Acts of the Apostles,current_public_or_local_reference,local cache covering 2020 to 2035
New Testament,Acts,27,Acts 27:27-37,rid_d01a4203005fa9969edb,great-lent-jonah-nineveh-cycle,Great Lent/Jonah/Nineveh cycle,Great Lent,liturgy_acts,,liturgy_acts,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database
