study_slug,testament,book,chapter,study_passages,matched_reading_ref,identity_key,occasion_id,occasion_short_label,collection_type,season,service,hour,slot,bridge_basis,confidence,status,attesting_edition,hour_theme,homily_ref,occurrence_count_for_this_passage
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,,Holy Fifty Days,liturgy_acts,,liturgy_acts,missing,,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,kiak-18,Kiak 18,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,13
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,kiak-3,Kiak 3,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,14
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,kiyahk-01-01,"The Departure of St. Peter Elrahawy, Bishop of Gaza",,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,kiyahk-03-01,The Entrance of Saint Mary into the Temple at Jerusalem,,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,kiyahk-18-01,The Commemoration of the Relocation of the Relics of St. Titus to Constantinople,,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,mesra-16-01,The Assumption of the Body of the Pure Virgin St. Mary,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,collection-type,medium,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,16
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,mesra-16-01,The Assumption of the Body of the Pure Virgin St. Mary,,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,the-feast-of-the-ascension,The Feast of the Ascension,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,16
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,the-first-sunday-of-kiak,The first Sunday of Kiak,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,14
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,toba-21,Toba 21,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,missing,,current_public_or_local_reference,local cache covering 2020 to 2035,the Eucharistic gathering of the Church,,12
acts-1-1-11-the-ascended-lord-and-the-promise-of-power,New Testament,Acts,1,Acts 1:1-11,Acts 1:1-14,rid_4bb6cc6dcdb3180a9737,tubah-21-01,"1.The Dormition of Our Lady, the Virgin Mary, the Theotokos",,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,collection-type,medium,current_public_or_local_reference,local repo snapshot of pierresaid Katameros API SQLite database,,,1
amos-3-4-covenant-accountability,Old Testament,Amos,3,Amos 3; Amos 4,Amos 3:1-11,rid_d9aa414c906f6cccaa02,great-thursday-eve,Great Thursday Eve,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Prophecy,missing,,historical_witness,"Lent 1734 A.M., 2018 A.D. eBook extracted text",the Cross and the Lord's willing suffering,,1
