reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,first-sunday-of-christmas-fast,first Sunday of Christmas Fast,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,first-sunday-of-christmas-fast,first Sunday of Christmas Fast,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no source for link,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiak-18,Kiak 18,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiak-18,Kiak 18,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
missing or inferred bridge_basis,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiak-3,Kiak 3,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiak-3,Kiak 3,missing,,Annual / fixed or ordinary cycle,Liturgy,,Acts of the Apostles,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiyahk-01-01,"The Departure of St. Peter Elrahawy, Bishop of Gaza",collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiyahk-03-01,The Entrance of Saint Mary into the Temple at Jerusalem,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
no 69 collection_type match,acts-1-1-11-the-ascended-lord-and-the-promise-of-power,rid_4bb6cc6dcdb3180a9737,Acts 1:1-14,kiyahk-18-01,The Commemoration of the Relocation of the Relics of St. Titus to Constantinople,collection-type,medium,Annual / fixed or ordinary cycle,liturgy_acts,,liturgy_acts,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=11; cache/copticchurch_html:row 11567; source_ref=Acts 1:1-14
