reason,study_slug,identity_key,matched_reading_ref,occasion_id,occasion_short_label,bridge_basis,confidence,season,service,hour,slot,source_locator
missing or inferred bridge_basis,psalm-35-lxx-34-contend-o-lord-with-those-who-contend-with-me,rid_c5ea83e1e74bc08d8bcd,"Ps 28:3-4,35:4 (LXX Ps 27:3-4; Ps 34:4)",good-friday-eve,Good Friday Eve,missing,,Pascha / Holy Week,Ninth Hour,Ninth Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 13112; source_ref=Ps 28:3-4,35:4"
no source for link,psalm-35-lxx-34-contend-o-lord-with-those-who-contend-with-me,rid_c5ea83e1e74bc08d8bcd,"Ps 28:3-4,35:4 (LXX Ps 27:3-4; Ps 34:4)",good-friday-eve,Good Friday Eve,missing,,Pascha / Holy Week,Ninth Hour,Ninth Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 13112; source_ref=Ps 28:3-4,35:4"
missing or inferred bridge_basis,psalm-35-lxx-34-contend-o-lord-with-those-who-contend-with-me,rid_e9cac5a77676e66601d0,"Ps 27:12,35:11-12,35:16 (LXX Ps 26:12; Ps 34:11-12; Ps 34:16)",good-friday,Good Friday,missing,,Pascha / Holy Week,First Hour,First Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 14158; source_ref=Ps 27:12,35:11-12,35:16"
no source for link,psalm-35-lxx-34-contend-o-lord-with-those-who-contend-with-me,rid_e9cac5a77676e66601d0,"Ps 27:12,35:11-12,35:16 (LXX Ps 26:12; Ps 34:11-12; Ps 34:16)",good-friday,Good Friday,missing,,Pascha / Holy Week,First Hour,First Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 14158; source_ref=Ps 27:12,35:11-12,35:16"
missing or inferred bridge_basis,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_46ed8e33c0ca437d34a1,Ps 36:6 (LXX Ps 35:6),saturday-of-the-fifth-week-of-the-holy-fifty-days,Saturday of the fifth week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=05&g_day=20; cache/copticchurch_html:row 12427; source_ref=Ps 36:6
missing or inferred bridge_basis,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_46ed8e33c0ca437d34a1,Ps 36:6 (LXX Ps 35:6),saturday-of-the-fifth-week-of-the-holy-fifty-days-and-the-feast-of-entry-into-egypt,Saturday of the fifth week of the holy fifty days and the Feast of Entry into Egypt,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=05&g_day=20; cache/copticchurch_html:row 12427; source_ref=Ps 36:6
missing or inferred bridge_basis,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_672945f37fe048e6a65c,Ps 36:5 (LXX Ps 35:5),saturday-of-the-fifth-week-of-the-holy-fifty-days,Saturday of the fifth week of the holy fifty days,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=05&g_day=20; cache/copticchurch_html:row 12426; source_ref=Ps 36:5
missing or inferred bridge_basis,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_672945f37fe048e6a65c,Ps 36:5 (LXX Ps 35:5),saturday-of-the-fifth-week-of-the-holy-fifty-days-and-the-feast-of-entry-into-egypt,Saturday of the fifth week of the holy fifty days and the Feast of Entry into Egypt,missing,,Holy Fifty Days,Matins,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=05&g_day=20; cache/copticchurch_html:row 12426; source_ref=Ps 36:5
missing or inferred bridge_basis,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_b2223e901b447d5821a0,Ps 36:9-10 (LXX Ps 35:9-10),the-fourth-sunday-of-toba,The fourth Sunday of Toba,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=05; cache/copticchurch_html:row 11515; source_ref=Ps 36:9-10
no 69 collection_type match,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_b2223e901b447d5821a0,Ps 36:9-10 (LXX Ps 35:9-10),the-fourth-sunday-of-toba,The fourth Sunday of Toba,missing,,Annual / fixed or ordinary cycle,Liturgy,,Psalm,https://copticchurch.net/readings?g_year=2023&g_month=02&g_day=05; cache/copticchurch_html:row 11515; source_ref=Ps 36:9-10
missing or inferred bridge_basis,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_bb7f30bbbe62390f4ba9,Ps 36:5-6 (LXX Ps 35:5-6),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 6040; source_ref=Ps 36:5-6
no source for link,psalm-36-lxx-35-in-thy-light-we-shall-see-light,rid_bb7f30bbbe62390f4ba9,Ps 36:5-6 (LXX Ps 35:5-6),holy-fifty-days-pentecost-cycle,Holy Fifty Days/Pentecost cycle,missing,,Holy Fifty Days,matins_psalm,,matins_psalm,sources/katameros-api/Core/KatamerosDatabase.db:row 6040; source_ref=Ps 36:5-6
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),amshir-03-01,"The Departure of St. James, the Ascetic",collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),amshir-03-01,"The Departure of St. James, the Ascetic",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),amshir-12-01,The Commemoration of the Archangel Michael,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),amshir-12-01,The Commemoration of the Archangel Michael,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),amshir-19-01,"The Commemoration of the Relocation of the Relics of St. Martianus, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),amshir-19-01,"The Commemoration of the Relocation of the Relics of St. Martianus, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),babah-07-01,The Departure of St. Paul of Tamouh,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),babah-07-01,The Departure of St. Paul of Tamouh,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),babah-13-01,"The Departure of Saint Zacharias, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),babah-13-01,"The Departure of Saint Zacharias, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),babah-25-01,The Departure of the Saints Apollo and Abib,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),babah-25-01,The Departure of the Saints Apollo and Abib,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),baramhat-09-01,The Departure of St. Konan,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),barmuda-1,Barmuda 1,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),barmuda-1,Barmuda 1,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),barmuda-10,Barmuda 10,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),barmuda-10,Barmuda 10,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),bashons-20,Bashons 20,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),bashons-20,Bashons 20,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),baunah-29-01,The Martyrdom of the Seven Ascetic Saints in Tounar Mount,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),kiak-12,Kiak 12,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),kiak-12,Kiak 12,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),kiyahk-12-01,"The Commemoration of the Honorable Michael, the Archangel",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),toba-14,Toba 14,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),toba-14,Toba 14,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),toba-25,Toba 25,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),toba-25,Toba 25,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),tubah-14-01,The Departure of St. Archiledis,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_27bc36e02ede607645fb,Ps 37:18 (LXX Ps 36:18),tubah-25-01,"The Departure of St. Peter, the Worshipper",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15363; source_ref=Ps 37:18
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_33dc8b5c1e34c09fe767,"Ps 21:8-9,21:16-17,37:21-22 (LXX Ps 20:8-9; Ps 20:16-17; Ps 36:21-22)",good-friday,Good Friday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 15247; source_ref=Ps 21:8-9,21:16-17,37:21-22"
no source for link,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_33dc8b5c1e34c09fe767,"Ps 21:8-9,21:16-17,37:21-22 (LXX Ps 20:8-9; Ps 20:16-17; Ps 36:21-22)",good-friday,Good Friday,missing,,Pascha / Holy Week,Sixth Hour,Sixth Hour,Psalm,"out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt:line 15247; source_ref=Ps 21:8-9,21:16-17,37:21-22"
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_363c3afd320e6d59e7f7,"Ps 37:17-18,37:29 (LXX Ps 36:17-18; Ps 36:29)",paona-29,Paona 29,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,"https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=06; cache/copticchurch_html:row 12930; source_ref=Ps 37:17-18,37:29"
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_363c3afd320e6d59e7f7,"Ps 37:17-18,37:29 (LXX Ps 36:17-18; Ps 36:29)",paona-29,Paona 29,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,"https://copticchurch.net/readings?g_year=2023&g_month=07&g_day=06; cache/copticchurch_html:row 12930; source_ref=Ps 37:17-18,37:29"
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),amshir-03-01,"The Departure of St. James, the Ascetic",collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),amshir-03-01,"The Departure of St. James, the Ascetic",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),amshir-12-01,The Commemoration of the Archangel Michael,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),amshir-12-01,The Commemoration of the Archangel Michael,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),amshir-19-01,"The Commemoration of the Relocation of the Relics of St. Martianus, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),amshir-19-01,"The Commemoration of the Relocation of the Relics of St. Martianus, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),babah-07-01,The Departure of St. Paul of Tamouh,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),babah-07-01,The Departure of St. Paul of Tamouh,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),babah-13-01,"The Departure of Saint Zacharias, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),babah-13-01,"The Departure of Saint Zacharias, the Monk",collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),babah-25-01,The Departure of the Saints Apollo and Abib,collection-type,medium,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),babah-25-01,The Departure of the Saints Apollo and Abib,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),baramhat-09-01,The Departure of St. Konan,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),barmuda-1,Barmuda 1,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),barmuda-1,Barmuda 1,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),barmuda-10,Barmuda 10,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),barmuda-10,Barmuda 10,missing,,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),bashons-20,Bashons 20,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),bashons-20,Bashons 20,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),baunah-29-01,The Martyrdom of the Seven Ascetic Saints in Tounar Mount,collection-type,medium,Annual / fixed or ordinary cycle,matins_psalm,,matins_psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
no 69 collection_type match,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),fast-of-nineveh,Fast of Nineveh,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
missing or inferred bridge_basis,psalm-37-lxx-36-the-meek-shall-inherit-the-earth,rid_69313e181fb494b15271,Ps 37:29 (LXX Ps 36:29),kiak-12,Kiak 12,missing,,Annual / fixed or ordinary cycle,Matins,,Psalm,https://copticchurch.net/readings?g_year=2024&g_month=02&g_day=20; cache/copticchurch_html:row 15364; source_ref=Ps 37:29
